mandate_slug	domain	status	vercel_project	github_repo	last_validated
aktos	aktos.crossoverintelligence.com	live	aktos-voc	Crossover-Research/aktos-voc	2026-05-27
looking-glass	apax.crossoverintelligence.com	live	looking-glass-voc	Crossover-Research/looking-glass-voc	2026-05-27
achievers	achievers.crossoverintelligence.com	live	achievers-voc-jpm	Crossover-Research/achievers-voc-jpm	2026-05-27
pdf-service	pdf.crossoverintelligence.com	planned	pdf-service	Crossover-Research/pdf-service	2026-05-27
componentlibrary-showcase	components.crossoverintelligence.com	planned	component-showcase	Crossover-Research/componentlibrary	2026-05-27
buyside-target	buyside-target.crossoverintelligence.com	placeholder	buyside-target-voc	Crossover-Research/buy-side-mandate	2026-05-27
cyberfox	cyberfox.crossoverintelligence.com	archived	cyberfox-voc-report	Crossover-Research/cyberfox-voc-report	2026-05-27
govwell	govwell.crossoverintelligence.com	archived	GovWell-VoC-Report	Crossover-Research/GovWell-VoC-Report	2026-05-27
battery-warp	warp.crossoverintelligence.com	archived	client-battery-ventures-warp	Crossover-Research/client-battery-ventures-warp	2026-05-27
battery-cfo	battery-cfo.crossoverintelligence.com	archived	client-battery-ventures-cfo-ai-study	Crossover-Research/client-battery-ventures-cfo-ai-study	2026-05-27
kloudgin	kloudgin.crossoverintelligence.com	archived	sample_kloudginVoC	Crossover-Research/sample_kloudginVoC	2026-05-27
moelis	moelis.crossoverintelligence.com	archived	Moelis	Crossover-Research/Moelis	2026-05-27
guggenheim	guggenheim.crossoverintelligence.com	archived	Guggenheim	Crossover-Research/Guggenheim	2026-05-27
danaher	danaher.crossoverintelligence.com	archived	danaher	Crossover-Research/danaher	2026-05-27
dashfuel	dashfuel.crossoverintelligence.com	archived	dashfuel	Crossover-Research/dashfuel	2026-05-27
atreides	atreides.crossoverintelligence.com	archived	Atreides-demo	Crossover-Research/Atreides-demo	2026-05-27
